x0,y0
-543,-40025768.75
947,212319513.8
794,125141529
-843,-149769293.8
-150,-843767
937,205664221.3
-78,-118655
-128,-524305
-10,-267
107,306243.75
339,9739537.75
238,3370301
562,44376065
309,7375890.25
-189,-1687834.25
617,58721261.25
63,62494.75
271,4975610.75
-921,-195307507.3
-89,-176259.25
64,65519
305,7093139.25
-847,-151911372.8
639,65229262.75
-71,-89494.75
-519,-34949606.75
-674,-76545523
180,1457983
-1,-17.25
185,1582889.25
-265,-4652423.25
-478,-27303855
899,181643157.8
-766,-112363791
114,370369
273,5086587.25
-640,-65536017
-721,-93701357.25
924,197222239
946,211647617
293,6288422.25
-186,-1608731
-185,-1582923.25
556,42969887
-894,-178629263
373,12973762.25
-354,-11090483
716,91765407
-71,-89494.75
-954,-217062683
-942,-208974239
812,133846815
-732,-98055809
-826,-140890011
-695,-83925610.75
224,2809839
805,130415014.3
-570,-46298267
693,83203122.25
223,2772374.75
451,22933445.75
-585,-50050423.25
-689,-81770709.25
945,210977139.3
-499,-31062891.75
706,87973937
-119,-421306.75
-901,-182858192.3
565,45090514.25
412,17483615
-547,-40916847.75
-352,-10903569
-119,-421306.75
-518,-34747975
-654,-69931583
-199,-1970166.75
-919,-194037906.8
437,20863346.25
-365,-12156798.25
611,57024765.75
-408,-16979345
-110,-332767
438,21006901
660,71873983
-954,-217062683
712,90236015
-557,-43202190.25
159,1004902.75
-124,-476673
258,4293361
-364,-12057153
-244,-3631713
-216,-2519441
-505,-32196923.25
-146,-778051
-372,-12869729
-493,-29955806.25
69,82110.25
-869,-164058744.3
995,246268701.8
965,224658014.3
-966,-225357191
-95,-214360.75
501,31437858.25
17,1211.25
185,1582889.25
-469,-25790444.25
96,221167
576,47775727
555,42738451.75
544,40247279
493,29955772.25
-75,-105485.75
-687,-81060692.75
-499,-31062891.75
-148,-810465
432,20155375
64,65519
580,48777983
-708,-88723745
-131,-562039.75
535,38282576.75
-434,-20436643
-869,-164058744.3
-123,-465233.75
682,79303625
120,431983
-367,-12357732.75
8,111
967,226057748.8
-611,-57024799.75
215,2484576.75
130,549233
-198,-1940615
-730,-97254267
-417,-18127945.25
75,105451.75
481,27821143.25
332,9148575
982,236741525
-223,-2772408.75
576,47775727
487,28875308.75
-878,-169209055
112,351215
-707,-88348327.75
-589,-51084134.25
-267,-4758557.75
-685,-80354798.25
-558,-43435295
-321,-8269057.25
343,10088384.75
-484,-28344993
116,390207
-85,-153548.25
-821,-138346932.3
-387,-14490167.75
-220,-2662017
998,248502981
-411,-17356649.75
132,574975
968,226759791
845,150837764.3
-249,-3859579.25
-946,-211647651
955,217745951.8
-12,-449
137,642821.25
-941,-208309422.3
992,244047855
-495,-30321860.75
731,97654455.75
970,228168233
619,59294147.75
64,65519
603,54814039.75
-28,-5505
600,53999983
645,67084014.25
618,59007241
-73,-97271.25
-445,-22030298.25
-250,-3906267
469,25790410.25
-160,-1024017
-75,-105485.75
-172,-1272129
655,70252826.75
467,25461873.75
-849,-152990029.3
878,169209021
-271,-4975644.75
732,98055775
600,53999983
-461,-24493062.25
847,151911338.8
145,762139.25
-572,-46787329
-301,-6817742.25
-368,-12459025
749,105047420.3
798,127042381
47,25938.75
-210,-2315267
-111,-341924.75
-890,-176242267
46,24317
-542,-39805039
-184,-1557393
161,1043303.25
887,174466008.8
-194,-1825363
-189,-1687834.25
275,5199201.75
841,148705813.3
-63,-62528.75
-426,-19327211
266,4705257
-938,-206323435
-990,-242574767
947,212319513.8
978,233860321
-243,-3587243.75
-130,-549267
825,140378889.3
624,60742639
737,100078871.3
-605,-55361298.25
55,41576.75
-405,-16607548.25
-805,-130415048.3
-281,-5547027.25
-56,-43921
63,62494.75
965,224658014.3
499,31062857.75
340,9825983
-915,-191515235.8
191,1741950.75
567,45571048.75
589,51084100.25
-700,-85750017
-661,-72201212.25
470,25955733
-838,-147120135
238,3370301
325,8582014.25
-564,-44851553
207,2217418.75
-183,-1532138.75
-488,-29053585
-538,-38930235
-350,-10718767
-159,-1004936.75
469,25790410.25
-447,-22328672.75
-429,-19738414.25
794,125141529
606,55636237
-365,-12156798.25
-97,-228185.25
-783,-120012188.8
-754,-107165283
570,46298233
452,23086335
184,1557359
918,193405141
56,43887
-690,-82127267
14,669
-508,-32774145
493,29955772.25
895,179229326.8
-319,-8115456.75
847,151911338.8
299,6682707.75
-374,-13078423
-205,-2153798.25
1,-16.75
-305,-7093173.25
-655,-70252860.75
797,126565376.3
389,14715950.25
-979,-234578451.8
-871,-165194094.8
679,78261692.75
-21,-2332.25
347,10445463.75
579,48526117.75
-871,-165194094.8
-904,-184690833
-896,-179830801
-245,-3676548.25
189,1687800.25
36,11647
-409,-17104499.25
-683,-79653013.75
92,194655
-975,-231714860.8
201,2030133.25
-796,-126089601
-846,-151373951
-761,-110177787.3
-233,-3162351.25
257,4243631.25
-709,-89100224.25
-943,-209640468.8
-721,-93701357.25
-718,-92536575
-320,-8192017
860,159013983
547,40916813.75
-328,-8821905
876,168055327
-803,-129445423.8
-338,-9653635
-581,-49030752.25
-545,-40469673.25
853,155162602.3
273,5086587.25
-635,-64011985.75
-334,-9314943
801,128480583.3
-169,-1206719.25
6,37
721,93701323.25
-831,-143464064.8
-585,-50050423.25
-153,-895411.25
243,3587209.75
-964,-223960353
-314,-7739803
-679,-78261726.75
-257,-4243665.25
-977,-233143725.3
480,27647983
-774,-115921223
-792,-124198289
697,84652201.25
-696,-84288401
372,12869695
555,42738451.75
-518,-34747975
792,124198255
976,232428527
-147,-794147.75
-707,-88348327.75
-347,-10445497.75
906,185919337
-146,-778051
-880,-170368017
-199,-1970166.75
-51,-33179.75
-488,-29053585
414,17739469
-958,-219804495
950,214343733
980,235297983
-214,-2450103
-374,-13078423
372,12869695
297,6549501.25
-701,-86118042.25
34,9809
158,986061
808,131878511
786,121396897
782,119552925
-394,-15290763
-618,-59007275
695,83925576.75
-226,-2885811
-749,-105047454.3
-124,-476673
666,73852057
65,68639.25
-442,-21587739
448,22478831
654,69931549
747,104208163.8
779,118182267.8
-137,-642855.25
190,1714733
-571,-46542369.75
151,860720.75
61,56728.25
898,181037681
-318,-8039375
-500,-31250017
-747,-104208197.8
519,34949572.75
-394,-15290763
-602,-54541819
270,4920733
81,132843.25
455,23549076.75
-681,-78955327.25
-741,-101717272.3
181,1482418.25
282,5606425
869,164058710.3
999,249250732.8
827,141402303.8
34,9809
517,34547086.25
-192,-1769489
-364,-12057153
-28,-5505
-95,-214360.75
93,201072.25
698,85017081
285,5787264.25
443,21734559.75
-811,-133352949.8
-309,-7375924.25
207,2217418.75
-261,-4444912.25
584,49794159
-415,-17868360.75
-929,-200441289.3
-955,-217745985.8
517,34547086.25
366,12256957
-78,-118655
201,2030133.25
-200,-2000017
608,56188911
547,40916813.75
690,82127233
917,192773786.3
-637,-64618730.25
896,179830767
-554,-42507883
-993,-244786681.3
-527,-36590812.75
558,43435261
-598,-53461815
-511,-33358224.75
-613,-57586616.25
-787,-121860867.8
-812,-133846849
-694,-83563863
-326,-8661511
-124,-476673
-287,-5909992.75
488,29053551
663,72858544.75
419,18389997.75
687,81060658.75
-594,-52396163
656,70575087
-183,-1532138.75
392,15059055
-640,-65536017
-382,-13935759
-713,-90616791.25
-163,-1082703.75
920,194671983
841,148705813.3
714,90998569
-864,-161243153
-982,-236741559
223,2772374.75
-363,-11958053.75
595,52661201.75
458,24017961
-678,-77916455
-918,-193405175
876,168055327
-424,-19056273
387,14490133.75
-587,-50565517.75
315,7813951.75
221,2698448.25
747,104208163.8
457,23860981.25
-913,-190262141.3
632,63108975
509,32968040.25
-118,-410775
608,56188911
848,152450031
898,181037681
848,152450031
-61,-56762.25
481,27821143.25
231,3081580.75
-163,-1082703.75
270,4920733
769,113689135.3
-919,-194037906.8
313,7666057.25
398,15761181
370,12663233
670,75190733
-218,-2590075
-173,-1294446.25
75,105451.75
929,200441255.3
-917,-192773820.3
-622,-60160479
-309,-7375924.25
-693,-83203156.25
690,82127233
283,5666279.75
-92,-194689
-865,-161803673.3
792,124198255
708,88723711
-137,-642855.25
757,108449506.3
145,762139.25
-824,-139869073
-384,-14155793
-689,-81770709.25
-383,-14045488.75
-836,-146069281
148,810431
-579,-48526151.75
-50,-31267
-857,-157355715.3
-165,-1123048.25
9,165.25
-687,-81060692.75
310,7447733
770,114133233
-768,-113246225
927,199149478.8
-432,-20155409
67,75173.75
295,6418076.75
257,4243631.25
-641,-65843697.25
584,49794159
883,172116329.8
-867,-162928607.8
-977,-233143725.3
538,38930201
393,15174597.25
392,15059055
-531,-37430339.75
-310,-7447767
-717,-92150470.25
572,46787295
455,23549076.75
792,124198255
-899,-181643191.8
870,164625733
934,203695109
-500,-31250017
-962,-222569299
868,163492991
301,6817708.25
-156,-949121
-116,-390241
-950,-214343767
-483,-28169663.75
-384,-14155793
-157,-967490.25
-902,-183467719
281,5546993.25
-1000,-250000017
55,41576.75
-819,-137338331.8
815,135335826.8
708,88723711
297,6549501.25
256,4194287
809,132368765.3
-896,-179830801
-407,-16854802.75
-443,-21734593.75
-596,-52927201
884,172701759
-576,-47775761
-211,-2348499.75
834,145023409
727,96060128.75
-703,-86857248.75
-211,-2348499.75
-276,-5256161
494,30138429
808,131878511
245,3676514.25
312,7592815
-64,-65553
172,1272095
754,107165249
-128,-524305
164,1102719
236,3286047
-279,-5429426.75
935,204350076.8
-424,-19056273
509,32968040.25
555,42738451.75
-7,-102.75
14,669
623,60451074.75
-514,-33949203
129,536655.25
349,10627120.25
245,3676514.25
-956,-218430721
-877,-168631550.3
-836,-146069281
-222,-2735279
-327,-8741462.75
320,8191983
363,11958019.75
-9,-199.25
-455,-23549110.75
-36,-11681
-168,-1185425
-717,-92150470.25
116,390207
116,390207
650,68656233
487,28875308.75
-97,-228185.25
-645,-67084048.25
-603,-54814073.75
631,62809880.75
925,197863264.3
-548,-41141665
384,14155759
-630,-62511767
-341,-9912972.25
942,208974205
117,400386.25
86,158997
-884,-172701793
527,36590778.75
564,44851519
752,106314735
323,8424549.75
-356,-11279521
-909,-187772374.3
-303,-6954548.75
-306,-7163171
189,1687800.25
334,9314909
-322,-8346579
527,36590778.75
-860,-159014017
-137,-642855.25
-596,-52927201
-489,-29232559.25
-920,-194672017
-523,-35763933.75
314,7739769
906,185919337
40,15983
-573,-47033146.25
-718,-92536575
-330,-8984267
-998,-248503015
-699,-85383041.75
-642,-66152339
-66,-71891
-601,-54270467.25
-339,-9739571.75
-294,-6353063
-976,-232428561
-822,-138853079
-796,-126089601
333,9231492.25
485,28521014.25
-442,-21587739
616,58436207
-300,-6750017
-326,-8661511
-895,-179229360.8
530,37219233
-814,-134838303
-651,-68973629.75
-221,-2698482.25
561,44139603.25
-270,-4920767
-51,-33179.75
544,40247279
-89,-176259.25
-401,-16120317.25
-448,-22478865
76,109727
312,7592815
660,71873983
-562,-44376099
396,15524767
-259,-4343511.75
49,29395.25
-787,-121860867.8
487,28875308.75
-84,-148193
-381,-13826602.25
677,77572166.25
679,78261692.75
-479,-27475576.75
174,1316989
-574,-47279823
-774,-115921223
-516,-34347041
403,16362689.75
53,37202.25
809,132368765.3
-82,-137859
869,164058710.3
699,85383007.75
-785,-120934173.3
135,615076.75
387,14490133.75
78,118621
517,34547086.25
574,47279789
913,190262107.3
-708,-88723745
-254,-4096783
307,7233593.75
421,18654598.25
-766,-112363791
-50,-31267
736,99672047
725,95269514.25
-986,-239646331
337,9568171.25
187,1634783.75
850,153531233
334,9314909
931,201738605.8
512,33554415
-716,-91765441
814,134838269
-909,-187772374.3
766,112363757
523,35763899.75
-854,-155708983
726,95664277
-267,-4758557.75
155,930951.75
963,223264069.8
-941,-208309422.3
-906,-185919371
729,96855105.25
-455,-23549110.75
-306,-7163171
856,156805487
-888,-175056785
-653,-69611286.25
-987,-240376217.8
-156,-949121
-276,-5256161
933,203041542.3
-962,-222569299
35,10701.75
721,93701323.25
91,188375.75
-505,-32196923.25
47,25938.75
591,51606250.75
175,1339826.75
-346,-10355451
344,10176879
-30,-6767
821,138346898.3
665,73519889.25
153,895377.25
-809,-132368799.3
-690,-82127267
-807,-131389502.8
269,4866260.25
-736,-99672081
-378,-13502555
-336,-9483281
310,7447733
-196,-1882401
-352,-10903569
-344,-10176913
431,20015730.75
976,232428527
-309,-7375924.25
-543,-40025768.75
-779,-118182301.8
218,2590041
633,63409017.25
-943,-209640468.8
-796,-126089601
-564,-44851553
-325,-8582048.25
470,25955733
882,171532225
900,182249983
-686,-80707231
868,163492991
883,172116329.8
56,43887
-40,-16017
112,351215
-672,-75866129
-727,-96060162.75
731,97654455.75
-703,-86857248.75
-870,-164625767
334,9314909
281,5546993.25
733,98458192.25
-670,-75190767
839,147647412.8
778,117727721
-369,-12560869.25
-394,-15290763
497,30690851.25
-418,-18258675
-662,-72529399
526,36382877
748,104627231
-180,-1458017
-493,-29955806.25
-291,-6160559.75
-408,-16979345
-265,-4652423.25
45,22764.25
965,224658014.3
952,215700335
-963,-223264103.8
-541,-39585122.25
965,224658014.3
-73,-97271.25
-714,-90998603
-821,-138346932.3
-1000,-250000017
400,15999983
222,2735245
27,4903.75
-260,-4394017
-709,-89100224.25
692,82843455
-749,-105047454.3
205,2153764.25
519,34949572.75
339,9739537.75
458,24017961
-281,-5547027.25
-566,-45330391
-292,-6224289
286,5848397
-119,-421306.75
-53,-37236.25
918,193405141
-467,-25461907.75
-887,-174466042.8
-674,-76545523
134,601509
-511,-33358224.75
-261,-4444912.25
-681,-78955327.25
-859,-158459961.8
-355,-11184735.75
